rms_x,rms_y,rms_z,pw,label
0.04,1.08,0.04,159.90,bearing
0.04,1.08,0.04,160.10,bearing
0.04,1.08,0.04,161.10,bearing
0.04,1.09,0.04,156.67,bearing
0.04,1.09,0.04,167.19,bearing
0.04,1.09,0.04,163.67,bearing
0.04,1.09,0.04,165.81,bearing
0.04,1.08,0.04,157.03,bearing
0.04,1.08,0.04,151.09,bearing
0.04,1.08,0.04,154.92,bearing
0.04,1.08,0.04,163.26,bearing
0.04,1.09,0.04,156.30,bearing
0.04,1.09,0.04,162.83,bearing
0.04,1.09,0.04,160.84,bearing
0.04,1.09,0.04,166.79,bearing
0.04,1.08,0.04,159.42,bearing
0.04,1.09,0.04,166.16,bearing
0.04,1.08,0.04,156.81,bearing
0.04,1.09,0.04,164.33,bearing
0.04,1.09,0.04,164.04,bearing
0.04,1.09,0.04,161.94,bearing
0.04,1.09,0.04,155.12,bearing
0.04,1.08,0.04,162.79,bearing
0.04,1.08,0.04,166.17,bearing
0.04,1.08,0.04,159.78,bearing
0.04,1.09,0.04,154.02,bearing
0.04,1.09,0.04,159.53,bearing
0.04,1.09,0.04,159.32,bearing
0.04,1.09,0.04,165.31,bearing
0.04,1.08,0.04,158.33,bearing
0.04,1.09,0.04,158.24,bearing
0.04,1.08,0.04,167.89,bearing
0.04,1.08,0.04,166.15,bearing
0.04,1.09,0.04,160.55,bearing
0.04,1.09,0.04,157.30,bearing
0.04,1.09,0.04,165.70,bearing
0.04,1.09,0.05,163.50,bearing
0.04,1.09,0.04,166.65,bearing
0.04,1.08,0.04,158.47,bearing
0.04,1.08,0.04,153.84,bearing
0.04,1.09,0.04,155.54,bearing
0.04,1.09,0.04,164.52,bearing
0.04,1.09,0.04,160.11,bearing
0.04,1.09,0.04,158.58,bearing
0.04,1.09,0.04,153.19,bearing
0.04,1.09,0.04,161.30,bearing
0.04,1.09,0.04,155.62,bearing
0.04,1.09,0.04,163.21,bearing
0.04,1.09,0.04,155.61,bearing
0.04,1.08,0.04,156.80,bearing
0.04,1.09,0.04,165.08,bearing
0.04,1.09,0.04,160.66,bearing
0.04,1.09,0.04,158.38,bearing
0.04,1.09,0.04,155.02,bearing
0.04,1.09,0.04,163.31,bearing
0.04,1.09,0.04,159.43,bearing
0.04,1.09,0.04,166.01,bearing
0.04,1.08,0.04,157.78,bearing
0.04,1.09,0.04,153.99,bearing
0.04,1.09,0.04,152.05,bearing
0.04,1.09,0.04,158.77,bearing
0.04,1.09,0.04,161.16,bearing
0.04,1.09,0.04,157.36,bearing
0.04,1.09,0.04,159.08,bearing
0.04,1.09,0.04,155.39,bearing
0.04,1.09,0.04,164.14,bearing
0.04,1.08,0.04,161.62,bearing
0.04,1.08,0.04,161.69,bearing
0.04,1.09,0.04,154.64,bearing
0.04,1.09,0.04,164.67,bearing
0.04,1.09,0.04,167.56,bearing
0.04,1.09,0.04,164.21,bearing
0.04,1.09,0.04,157.35,bearing
0.04,1.08,0.04,162.30,bearing
0.04,1.08,0.04,154.23,bearing
0.04,1.08,0.04,161.44,bearing
0.04,1.08,0.04,162.14,bearing
0.04,1.09,0.04,158.82,bearing
0.04,1.09,0.04,155.49,bearing
0.04,1.09,0.04,162.64,bearing
0.04,1.09,0.04,161.37,bearing
0.04,1.09,0.04,162.64,bearing
0.04,1.09,0.04,162.77,bearing
0.04,1.09,0.04,165.83,bearing
0.04,1.09,0.04,158.57,bearing
0.04,1.09,0.04,153.26,bearing
0.04,1.09,0.04,163.60,bearing
0.04,1.09,0.04,156.13,bearing
0.04,1.09,0.04,166.64,bearing
0.04,1.09,0.04,165.69,bearing
0.04,1.09,0.04,157.77,bearing
0.04,1.09,0.04,165.41,bearing
0.04,1.09,0.04,161.01,bearing
0.04,1.09,0.04,162.63,bearing
0.04,1.08,0.04,167.49,bearing
0.04,1.09,0.04,161.57,bearing
0.04,1.09,0.04,167.66,bearing
0.04,1.09,0.04,166.88,bearing
0.04,1.09,0.04,161.16,bearing
0.04,1.09,0.04,155.38,bearing
0.04,1.09,0.04,157.12,bearing
0.04,1.08,0.04,155.43,bearing
0.04,1.08,0.04,157.97,bearing
0.04,1.08,0.04,157.28,bearing
0.04,1.09,0.04,159.42,bearing
0.04,1.09,0.04,161.73,bearing
0.04,1.09,0.04,164.62,bearing
0.04,1.09,0.04,165.11,bearing
0.04,1.09,0.04,161.35,bearing
0.04,1.09,0.04,161.03,bearing
0.04,1.09,0.05,161.94,bearing
0.04,1.09,0.04,165.22,bearing
0.04,1.09,0.04,162.73,bearing
0.04,1.08,0.04,161.02,bearing
0.04,1.09,0.04,157.11,bearing
0.04,1.09,0.04,154.78,bearing
0.04,1.09,0.04,158.09,bearing
0.04,1.09,0.04,155.79,bearing
0.04,1.09,0.04,156.85,bearing
0.04,1.09,0.04,163.75,bearing
0.04,1.09,0.04,160.85,bearing
0.04,1.09,0.04,169.20,bearing
0.04,1.09,0.04,160.30,bearing
0.04,1.09,0.04,155.90,bearing
0.04,1.09,0.04,162.05,bearing
0.04,1.09,0.04,166.77,bearing
0.04,1.08,0.04,159.66,bearing
0.04,1.09,0.04,164.28,bearing
0.04,1.09,0.04,159.82,bearing
0.04,1.08,0.04,156.41,bearing
0.04,1.09,0.04,159.60,bearing
0.04,1.09,0.04,156.13,bearing
0.04,1.09,0.04,158.61,bearing
0.04,1.09,0.04,161.96,bearing
0.04,1.09,0.04,161.08,bearing
0.04,1.09,0.04,166.49,bearing
0.04,1.09,0.04,158.37,bearing
0.04,1.09,0.04,156.03,bearing
0.04,1.09,0.04,160.42,bearing
0.04,1.09,0.04,166.83,bearing
0.04,1.08,0.04,159.52,bearing
0.04,1.09,0.04,165.23,bearing
0.04,1.08,0.04,158.82,bearing
0.04,1.08,0.04,154.98,bearing
0.04,1.09,0.04,163.39,bearing
0.04,1.09,0.04,156.52,bearing
0.04,1.09,0.04,167.04,bearing
0.04,1.09,0.04,166.37,bearing
0.04,1.09,0.04,158.73,bearing
0.04,1.09,0.04,163.04,bearing
0.04,1.09,0.04,161.25,bearing
0.04,1.09,0.04,165.07,bearing
0.04,1.09,0.04,157.89,bearing
0.04,1.09,0.04,158.72,bearing
0.04,1.09,0.04,165.41,bearing
0.04,1.09,0.04,156.50,bearing
0.04,1.09,0.04,163.63,bearing
0.04,1.09,0.04,160.21,bearing
0.04,1.09,0.04,158.71,bearing
0.04,1.09,0.04,157.38,bearing
0.04,1.09,0.04,165.71,bearing
0.04,1.09,0.04,160.58,bearing
0.04,1.09,0.04,161.24,bearing
0.04,1.09,0.04,167.02,bearing
0.04,1.09,0.04,161.14,bearing
0.04,1.09,0.04,155.34,bearing
0.04,1.09,0.04,155.17,bearing
0.04,1.09,0.04,158.86,bearing
0.04,1.08,0.04,156.03,bearing
0.04,1.09,0.04,161.52,bearing
0.04,1.09,0.04,167.38,bearing
0.04,1.09,0.04,158.67,bearing
0.04,1.09,0.04,165.93,bearing
0.04,1.08,0.04,161.29,bearing
0.04,1.09,0.05,161.55,bearing
0.04,1.09,0.04,159.17,bearing
0.04,1.09,0.05,153.06,bearing
0.04,1.09,0.04,161.93,bearing
0.04,1.08,0.04,155.09,bearing
0.04,1.09,0.04,158.25,bearing
0.04,1.09,0.04,161.92,bearing
0.04,1.09,0.04,159.61,bearing
0.04,1.09,0.04,157.43,bearing
0.04,1.09,0.04,166.37,bearing
0.04,1.09,0.04,160.16,bearing
0.04,1.09,0.04,154.28,bearing
0.04,1.09,0.04,162.66,bearing
0.04,1.09,0.04,161.56,bearing
0.04,1.09,0.04,163.68,bearing
0.04,1.09,0.04,156.64,bearing
0.04,1.09,0.04,165.74,bearing
0.04,1.09,0.04,164.17,bearing
0.04,1.08,0.04,158.69,bearing
0.04,1.09,0.04,158.84,bearing
0.04,1.09,0.04,167.47,bearing
0.04,1.09,0.04,161.11,bearing
0.04,1.09,0.04,154.66,bearing
0.04,1.09,0.04,158.35,bearing
0.04,1.09,0.04,156.68,bearing
0.04,1.09,0.04,163.69,bearing
0.04,1.09,0.04,155.59,bearing
0.04,1.09,0.04,163.97,bearing
0.04,1.09,0.04,163.99,bearing
0.04,1.09,0.04,162.07,bearing
0.04,1.08,0.04,156.38,bearing
0.04,1.09,0.04,166.77,bearing
0.04,1.09,0.04,160.66,bearing
0.04,1.09,0.04,160.28,bearing
0.04,1.09,0.04,156.31,bearing
0.04,1.08,0.04,157.88,bearing
0.04,1.09,0.04,164.72,bearing
0.04,1.08,0.04,161.31,bearing
0.04,1.09,0.04,158.08,bearing
0.04,1.09,0.04,168.16,bearing
0.04,1.09,0.04,161.86,bearing
0.04,1.09,0.04,158.48,bearing
0.04,1.08,0.04,157.26,bearing
0.04,1.08,0.04,165.93,bearing
0.04,1.09,0.04,166.14,bearing
0.04,1.08,0.04,163.77,bearing
0.04,1.09,0.04,157.86,bearing
0.04,1.09,0.04,153.18,bearing
0.04,1.09,0.04,162.04,bearing
0.04,1.08,0.04,159.97,bearing
0.04,1.09,0.04,160.64,bearing
0.04,1.08,0.04,163.34,bearing
