rms_x,rms_y,rms_z,pw,label
0.05,1.08,0.05,135.19,normal
0.05,1.09,0.05,133.00,normal
0.05,1.09,0.04,141.77,normal
0.05,1.09,0.05,142.24,normal
0.05,1.09,0.05,142.42,normal
0.05,1.09,0.04,147.13,normal
0.05,1.09,0.05,142.74,normal
0.05,1.09,0.05,140.42,normal
0.05,1.09,0.04,142.09,normal
0.05,1.09,0.05,133.52,normal
0.05,1.09,0.05,131.83,normal
0.05,1.09,0.04,137.49,normal
0.05,1.09,0.05,141.12,normal
0.05,1.09,0.05,136.19,normal
0.05,1.09,0.05,139.97,normal
0.05,1.09,0.05,141.53,normal
0.05,1.09,0.04,135.74,normal
0.05,1.09,0.05,142.65,normal
0.05,1.09,0.05,138.95,normal
0.05,1.09,0.05,138.20,normal
0.05,1.09,0.04,146.27,normal
0.05,1.09,0.05,141.29,normal
0.05,1.09,0.05,146.27,normal
0.05,1.09,0.05,147.16,normal
0.04,1.09,0.05,143.25,normal
0.05,1.09,0.04,145.13,normal
0.05,1.09,0.05,138.74,normal
0.05,1.09,0.05,133.69,normal
0.05,1.09,0.04,136.77,normal
0.05,1.09,0.05,134.24,normal
0.05,1.09,0.05,129.97,normal
0.05,1.09,0.04,137.96,normal
0.05,1.09,0.05,137.58,normal
0.05,1.09,0.05,137.26,normal
0.05,1.09,0.05,143.81,normal
0.05,1.09,0.05,143.95,normal
0.05,1.09,0.05,143.08,normal
0.05,1.09,0.04,149.01,normal
0.05,1.09,0.05,142.56,normal
0.05,1.09,0.05,142.10,normal
0.05,1.09,0.04,144.75,normal
0.05,1.09,0.05,136.60,normal
0.05,1.09,0.05,134.60,normal
0.05,1.09,0.04,139.15,normal
0.05,1.09,0.05,136.83,normal
0.05,1.09,0.05,138.84,normal
0.05,1.09,0.05,140.77,normal
0.05,1.09,0.05,141.86,normal
0.05,1.09,0.05,145.30,normal
0.05,1.09,0.04,142.58,normal
0.05,1.09,0.05,138.29,normal
0.05,1.09,0.05,137.34,normal
0.05,1.09,0.04,139.57,normal
0.05,1.09,0.05,135.21,normal
0.05,1.09,0.04,138.23,normal
0.05,1.09,0.05,143.47,normal
