rms_x,rms_y,rms_z,pw,label
0.06,1.09,0.06,174.03,obstruction
0.06,1.08,0.08,168.97,obstruction
0.07,1.09,0.08,174.73,obstruction
0.06,1.09,0.10,176.09,obstruction
0.06,1.09,0.06,173.30,obstruction
0.09,1.09,0.10,167.75,obstruction
0.06,1.09,0.07,179.05,obstruction
0.09,1.09,0.09,187.87,obstruction
0.07,1.09,0.09,178.64,obstruction
0.09,1.09,0.09,179.62,obstruction
0.09,1.09,0.10,180.86,obstruction
0.07,1.08,0.08,187.90,obstruction
0.07,1.09,0.08,179.38,obstruction
0.06,1.09,0.06,185.06,obstruction
0.07,1.09,0.09,180.68,obstruction
0.05,1.09,0.06,178.07,obstruction
0.07,1.09,0.07,174.91,obstruction
0.07,1.09,0.10,175.70,obstruction
0.08,1.09,0.09,178.50,obstruction
0.09,1.09,0.13,172.08,obstruction
0.05,1.08,0.07,177.76,obstruction
0.09,1.09,0.10,179.63,obstruction
0.05,1.09,0.09,173.67,obstruction
0.07,1.09,0.08,176.31,obstruction
0.05,1.09,0.09,181.63,obstruction
0.05,1.09,0.05,181.91,obstruction
0.07,1.09,0.09,174.46,obstruction
0.05,1.09,0.06,175.18,obstruction
0.07,1.09,0.07,180.69,obstruction
0.05,1.09,0.06,182.09,obstruction
0.08,1.08,0.08,178.27,obstruction
0.06,1.09,0.08,170.59,obstruction
0.07,1.09,0.06,180.39,obstruction
0.07,1.09,0.09,181.47,obstruction
0.06,1.09,0.06,179.49,obstruction
0.07,1.09,0.09,165.04,obstruction
0.04,1.08,0.05,167.35,obstruction
0.07,1.09,0.08,174.50,obstruction
0.05,1.09,0.07,180.00,obstruction
0.07,1.09,0.07,178.80,obstruction
0.05,1.09,0.06,165.50,obstruction
0.06,1.09,0.05,169.30,obstruction
0.06,1.09,0.07,166.77,obstruction
0.06,1.09,0.06,175.16,obstruction
0.06,1.09,0.07,170.03,obstruction
0.04,1.09,0.06,171.84,obstruction
0.07,1.09,0.07,167.85,obstruction
0.04,1.09,0.05,178.35,obstruction
0.07,1.09,0.08,180.00,obstruction
0.05,1.08,0.07,177.27,obstruction
0.08,1.09,0.09,173.86,obstruction
0.08,1.09,0.10,163.73,obstruction
0.06,1.09,0.06,166.17,obstruction
0.05,1.09,0.07,173.23,obstruction
0.06,1.09,0.06,172.34,obstruction
0.07,1.09,0.09,170.32,obstruction
0.05,1.09,0.07,170.14,obstruction
0.07,1.09,0.09,174.09,obstruction
0.05,1.09,0.06,170.55,obstruction
0.06,1.09,0.06,176.92,obstruction
0.05,1.08,0.06,176.76,obstruction
0.06,1.09,0.06,163.86,obstruction
0.05,1.09,0.05,170.13,obstruction
0.05,1.08,0.05,168.44,obstruction
0.05,1.09,0.06,178.32,obstruction
0.04,1.08,0.05,170.76,obstruction
0.05,1.09,0.05,165.28,obstruction
0.04,1.09,0.05,164.39,obstruction
0.05,1.09,0.06,162.27,obstruction
0.07,1.09,0.05,172.93,obstruction
0.18,1.09,0.19,175.97,obstruction
0.25,1.10,0.28,175.08,obstruction
0.16,1.09,0.26,177.74,obstruction
0.09,1.09,0.13,181.20,obstruction
0.06,1.09,0.07,174.75,obstruction
0.08,1.09,0.08,179.97,obstruction
0.05,1.09,0.06,180.61,obstruction
0.08,1.09,0.08,181.58,obstruction
0.09,1.09,0.10,182.67,obstruction
0.09,1.08,0.09,179.38,obstruction
0.13,1.09,0.16,182.74,obstruction
0.11,1.09,0.14,184.90,obstruction
0.14,1.09,0.17,182.87,obstruction
0.15,1.09,0.17,193.14,obstruction
0.12,1.09,0.14,188.02,obstruction
0.15,1.09,0.16,187.73,obstruction
0.11,1.09,0.11,185.64,obstruction
0.15,1.09,0.13,188.00,obstruction
0.12,1.09,0.12,186.82,obstruction
0.07,1.09,0.07,192.26,obstruction
0.13,1.07,0.13,190.53,obstruction
0.09,1.09,0.10,190.79,obstruction
0.12,1.10,0.10,193.17,obstruction
0.13,1.09,0.13,191.41,obstruction
0.12,1.10,0.11,201.68,obstruction
0.08,1.08,0.10,198.22,obstruction
0.14,1.10,0.12,190.46,obstruction
0.07,1.07,0.09,196.10,obstruction
0.10,1.08,0.09,188.90,obstruction
0.12,1.09,0.13,194.65,obstruction
0.09,1.09,0.09,192.48,obstruction
0.12,1.10,0.11,189.14,obstruction
0.13,1.10,0.14,194.99,obstruction
0.11,1.09,0.10,191.62,obstruction
0.08,1.09,0.09,200.11,obstruction
0.09,1.09,0.10,200.93,obstruction
0.07,1.10,0.08,195.79,obstruction
0.07,1.08,0.08,201.40,obstruction
0.08,1.09,0.09,193.82,obstruction
0.05,1.08,0.06,191.61,obstruction
0.08,1.09,0.08,188.31,obstruction
0.06,1.09,0.07,188.30,obstruction
0.07,1.08,0.07,192.85,obstruction
0.10,1.09,0.10,194.10,obstruction
0.06,1.08,0.08,194.78,obstruction
0.07,1.09,0.07,194.21,obstruction
0.08,1.09,0.10,198.18,obstruction
0.06,1.09,0.07,192.72,obstruction
0.07,1.09,0.09,201.56,obstruction
0.08,1.09,0.09,196.23,obstruction
0.06,1.09,0.06,191.44,obstruction
0.09,1.09,0.11,186.74,obstruction
0.11,1.09,0.09,191.62,obstruction
0.07,1.08,0.09,183.59,obstruction
0.11,1.10,0.11,191.92,obstruction
0.07,1.11,0.08,182.86,obstruction
0.08,1.08,0.10,188.80,obstruction
0.11,1.09,0.11,192.08,obstruction
0.09,1.11,0.09,194.31,obstruction
0.12,1.09,0.13,197.73,obstruction
0.12,1.10,0.14,195.17,obstruction
0.13,1.08,0.12,205.38,obstruction
0.10,1.09,0.14,198.77,obstruction
0.12,1.10,0.13,198.58,obstruction
0.10,1.10,0.09,201.27,obstruction
0.08,1.10,0.10,200.76,obstruction
0.09,1.09,0.09,199.75,obstruction
0.08,1.07,0.07,199.98,obstruction
0.10,1.09,0.09,195.01,obstruction
0.07,1.09,0.09,197.38,obstruction
0.07,1.09,0.08,194.42,obstruction
0.10,1.09,0.10,188.83,obstruction
0.06,1.09,0.08,196.24,obstruction
0.08,1.09,0.07,188.32,obstruction
0.09,1.09,0.10,198.54,obstruction
0.07,1.09,0.07,200.09,obstruction
0.10,1.09,0.09,198.47,obstruction
0.09,1.09,0.11,197.41,obstruction
0.07,1.08,0.07,193.71,obstruction
0.09,1.09,0.09,195.43,obstruction
0.10,1.10,0.11,192.56,obstruction
0.08,1.09,0.08,195.46,obstruction
0.10,1.09,0.09,197.30,obstruction
0.08,1.10,0.10,196.95,obstruction
0.08,1.08,0.07,201.80,obstruction
0.10,1.09,0.10,202.00,obstruction
0.08,1.09,0.09,193.03,obstruction
0.08,1.09,0.08,199.71,obstruction
0.11,1.09,0.10,197.83,obstruction
0.08,1.11,0.09,200.32,obstruction
0.06,1.09,0.06,193.38,obstruction
0.10,1.09,0.09,192.32,obstruction
0.06,1.09,0.07,191.11,obstruction
0.06,1.08,0.06,188.55,obstruction
0.08,1.09,0.08,189.45,obstruction
0.07,1.08,0.07,185.45,obstruction
0.10,1.09,0.09,187.05,obstruction
0.08,1.10,0.09,188.20,obstruction
0.09,1.10,0.10,189.05,obstruction
0.11,1.10,0.12,191.90,obstruction
0.08,1.08,0.10,187.65,obstruction
0.07,1.08,0.08,183.53,obstruction
0.08,1.09,0.11,189.31,obstruction
0.07,1.09,0.07,183.41,obstruction
0.08,1.09,0.09,192.88,obstruction
0.07,1.09,0.09,187.09,obstruction
0.06,1.09,0.07,189.09,obstruction
0.08,1.08,0.09,188.67,obstruction
0.08,1.09,0.10,195.76,obstruction
0.08,1.10,0.09,187.81,obstruction
0.09,1.09,0.12,194.55,obstruction
0.08,1.09,0.08,191.85,obstruction
0.08,1.09,0.10,196.65,obstruction
0.10,1.11,0.11,192.48,obstruction
0.07,1.08,0.07,195.79,obstruction
0.08,1.09,0.10,191.72,obstruction
0.09,1.09,0.10,191.43,obstruction
0.09,1.09,0.09,191.69,obstruction
0.11,1.10,0.10,191.85,obstruction
0.08,1.09,0.11,198.95,obstruction
0.10,1.09,0.09,196.80,obstruction
0.12,1.10,0.12,197.02,obstruction
0.09,1.08,0.10,196.41,obstruction
0.11,1.09,0.09,196.56,obstruction
0.14,1.09,0.12,199.20,obstruction
0.08,1.10,0.08,198.95,obstruction
0.09,1.09,0.10,198.25,obstruction
0.11,1.08,0.10,204.00,obstruction
0.09,1.08,0.09,198.53,obstruction
0.11,1.09,0.10,193.49,obstruction
0.11,1.08,0.11,201.24,obstruction
0.08,1.09,0.09,197.97,obstruction
0.11,1.10,0.12,199.71,obstruction
0.12,1.09,0.13,209.73,obstruction
0.10,1.10,0.13,204.12,obstruction
0.11,1.08,0.12,204.01,obstruction
0.14,1.09,0.16,194.85,obstruction
0.09,1.09,0.14,206.18,obstruction
0.07,1.09,0.10,205.99,obstruction
0.09,1.09,0.12,204.02,obstruction
0.07,1.09,0.08,201.11,obstruction
0.07,1.08,0.08,198.93,obstruction
0.10,1.09,0.12,198.41,obstruction
0.09,1.09,0.11,199.31,obstruction
0.07,1.09,0.09,202.15,obstruction
0.09,1.08,0.10,202.13,obstruction
0.07,1.09,0.07,198.29,obstruction
0.04,1.09,0.05,198.24,obstruction
0.07,1.09,0.08,196.12,obstruction
0.06,1.09,0.06,192.91,obstruction
0.06,1.09,0.06,196.93,obstruction
0.07,1.09,0.08,190.59,obstruction
0.10,1.09,0.09,196.90,obstruction
0.10,1.09,0.09,191.42,obstruction
0.15,1.09,0.13,195.14,obstruction
0.08,1.09,0.09,193.37,obstruction
0.12,1.09,0.11,194.81,obstruction
0.15,1.10,0.14,199.30,obstruction
0.10,1.10,0.09,198.68,obstruction
0.11,1.09,0.10,197.86,obstruction
0.11,1.08,0.10,205.41,obstruction
0.09,1.08,0.09,201.70,obstruction
0.11,1.09,0.13,202.88,obstruction
0.14,1.11,0.17,198.24,obstruction
0.15,1.08,0.18,205.34,obstruction
0.13,1.10,0.19,211.60,obstruction
0.16,1.11,0.20,211.27,obstruction
0.12,1.11,0.15,207.24,obstruction
0.07,1.08,0.10,206.29,obstruction
0.09,1.08,0.11,205.52,obstruction
0.10,1.09,0.14,210.24,obstruction
0.11,1.09,0.14,211.94,obstruction
0.09,1.09,0.11,208.52,obstruction
0.09,1.09,0.12,207.96,obstruction
0.08,1.09,0.14,205.66,obstruction
0.11,1.09,0.15,207.95,obstruction
0.10,1.09,0.13,207.73,obstruction
0.10,1.09,0.13,214.06,obstruction
0.11,1.08,0.14,215.98,obstruction
0.12,1.09,0.14,214.82,obstruction
0.09,1.10,0.11,214.91,obstruction
0.10,1.09,0.13,210.88,obstruction
0.10,1.09,0.13,209.96,obstruction
0.09,1.09,0.11,213.76,obstruction
0.10,1.09,0.13,218.95,obstruction
0.11,1.09,0.12,219.68,obstruction
0.11,1.09,0.13,213.36,obstruction
0.09,1.09,0.15,211.51,obstruction
0.11,1.11,0.15,212.33,obstruction
0.10,1.09,0.13,217.69,obstruction
0.12,1.09,0.18,217.89,obstruction
0.11,1.09,0.15,219.90,obstruction
0.08,1.09,0.12,217.27,obstruction
0.07,1.10,0.11,219.86,obstruction
0.08,1.08,0.12,215.41,obstruction
0.09,1.09,0.15,216.25,obstruction
0.09,1.11,0.13,223.60,obstruction
0.09,1.08,0.13,219.18,obstruction
0.09,1.10,0.12,212.44,obstruction
0.08,1.10,0.13,213.47,obstruction
0.11,1.10,0.15,217.31,obstruction
0.09,1.10,0.10,213.43,obstruction
0.06,1.09,0.10,213.11,obstruction
0.10,1.08,0.13,209.51,obstruction
0.11,1.10,0.13,209.10,obstruction
0.09,1.09,0.11,206.45,obstruction
0.09,1.09,0.12,204.60,obstruction
0.11,1.08,0.14,208.13,obstruction
0.11,1.10,0.13,206.61,obstruction
0.11,1.09,0.12,204.51,obstruction
0.09,1.08,0.10,205.33,obstruction
0.09,1.08,0.12,202.11,obstruction
0.10,1.09,0.14,203.91,obstruction
0.11,1.09,0.12,201.70,obstruction
0.09,1.09,0.11,203.63,obstruction
0.11,1.09,0.14,201.79,obstruction
0.11,1.09,0.11,198.42,obstruction
0.08,1.09,0.08,198.81,obstruction
0.08,1.09,0.10,194.35,obstruction
0.09,1.09,0.12,197.15,obstruction
0.07,1.09,0.09,198.58,obstruction
0.07,1.09,0.09,197.14,obstruction
0.07,1.09,0.10,191.92,obstruction
0.07,1.09,0.09,192.78,obstruction
0.06,1.09,0.06,193.99,obstruction
0.07,1.09,0.08,186.40,obstruction
0.09,1.09,0.10,185.00,obstruction
0.06,1.09,0.08,183.05,obstruction
0.07,1.08,0.09,188.25,obstruction
0.10,1.09,0.12,184.45,obstruction
0.07,1.09,0.09,183.47,obstruction
0.08,1.09,0.10,183.01,obstruction
0.10,1.09,0.12,181.66,obstruction
0.06,1.09,0.09,187.60,obstruction
0.07,1.09,0.08,186.03,obstruction
0.09,1.09,0.12,184.69,obstruction
0.07,1.08,0.08,179.79,obstruction
0.08,1.08,0.10,183.97,obstruction
0.08,1.09,0.11,186.61,obstruction
0.07,1.09,0.08,193.91,obstruction
0.07,1.09,0.08,191.18,obstruction
0.07,1.08,0.10,189.69,obstruction
0.08,1.09,0.09,187.32,obstruction
0.07,1.09,0.09,180.16,obstruction
0.10,1.09,0.13,186.00,obstruction
0.11,1.09,0.14,186.75,obstruction
0.08,1.09,0.11,188.03,obstruction
0.08,1.09,0.13,197.81,obstruction
0.11,1.09,0.15,195.68,obstruction
0.11,1.09,0.15,199.69,obstruction
0.10,1.09,0.16,195.50,obstruction
0.10,1.09,0.14,200.70,obstruction
0.10,1.09,0.13,200.52,obstruction
0.08,1.09,0.10,199.09,obstruction
0.11,1.09,0.12,202.34,obstruction
0.11,1.09,0.14,196.57,obstruction
0.09,1.09,0.12,198.66,obstruction
0.10,1.08,0.13,198.21,obstruction
0.11,1.10,0.16,205.03,obstruction
0.12,1.10,0.14,203.69,obstruction
0.10,1.10,0.13,205.82,obstruction
0.09,1.08,0.11,203.68,obstruction
0.09,1.07,0.11,203.52,obstruction
0.07,1.10,0.11,204.03,obstruction
0.07,1.10,0.10,202.84,obstruction
0.09,1.10,0.11,201.77,obstruction
0.08,1.10,0.11,191.59,obstruction
0.07,1.10,0.09,197.32,obstruction
0.08,1.09,0.10,194.68,obstruction
0.10,1.09,0.12,200.07,obstruction
0.09,1.08,0.11,195.23,obstruction
0.08,1.08,0.08,200.79,obstruction
0.08,1.08,0.12,199.70,obstruction
0.09,1.09,0.11,198.82,obstruction
0.07,1.09,0.08,196.24,obstruction
0.08,1.09,0.09,193.79,obstruction
0.08,1.09,0.10,192.10,obstruction
0.07,1.09,0.08,197.52,obstruction
0.07,1.09,0.08,186.81,obstruction
0.07,1.09,0.10,190.68,obstruction
0.07,1.09,0.08,192.27,obstruction
0.05,1.09,0.06,189.28,obstruction
0.07,1.09,0.09,180.87,obstruction
0.09,1.09,0.10,184.71,obstruction
0.06,1.09,0.07,187.33,obstruction
0.08,1.08,0.09,190.81,obstruction
0.09,1.09,0.10,184.73,obstruction
0.06,1.09,0.07,186.04,obstruction
0.10,1.09,0.10,185.90,obstruction
0.11,1.09,0.13,181.30,obstruction
0.09,1.09,0.10,188.22,obstruction
0.09,1.09,0.11,187.04,obstruction
0.12,1.09,0.13,187.87,obstruction
0.10,1.08,0.12,184.46,obstruction
0.09,1.09,0.11,187.75,obstruction
0.11,1.09,0.14,191.35,obstruction
0.10,1.09,0.11,193.63,obstruction
0.08,1.08,0.09,190.36,obstruction
0.11,1.10,0.13,192.73,obstruction
0.10,1.09,0.11,193.12,obstruction
0.06,1.09,0.07,195.73,obstruction
0.08,1.09,0.11,190.72,obstruction
0.08,1.08,0.10,191.56,obstruction
0.06,1.09,0.08,188.58,obstruction
0.09,1.09,0.11,184.96,obstruction
0.11,1.09,0.12,192.46,obstruction
0.08,1.09,0.10,192.75,obstruction
0.09,1.09,0.12,194.43,obstruction
0.12,1.09,0.15,197.96,obstruction
0.09,1.09,0.12,194.26,obstruction
0.08,1.09,0.11,191.13,obstruction
0.10,1.09,0.14,193.79,obstruction
0.09,1.09,0.11,192.97,obstruction
0.08,1.09,0.10,188.06,obstruction
0.09,1.09,0.12,191.75,obstruction
0.09,1.09,0.12,195.15,obstruction
0.07,1.09,0.09,192.80,obstruction
0.08,1.09,0.11,197.08,obstruction
0.09,1.09,0.12,190.91,obstruction
0.07,1.09,0.09,197.43,obstruction
0.07,1.09,0.09,196.09,obstruction
0.09,1.09,0.11,190.37,obstruction
0.09,1.09,0.10,195.84,obstruction
0.07,1.09,0.09,190.42,obstruction
0.08,1.09,0.12,192.48,obstruction
0.09,1.09,0.11,195.34,obstruction
0.07,1.09,0.08,194.47,obstruction
0.08,1.09,0.10,185.84,obstruction
0.11,1.10,0.13,188.69,obstruction
0.05,1.09,0.08,187.60,obstruction
0.08,1.09,0.09,187.70,obstruction
0.11,1.10,0.13,190.32,obstruction
0.06,1.09,0.09,195.76,obstruction
0.07,1.09,0.07,195.68,obstruction
0.09,1.08,0.11,194.19,obstruction
0.06,1.09,0.09,193.65,obstruction
0.07,1.09,0.08,191.65,obstruction
0.08,1.08,0.12,188.17,obstruction
0.09,1.09,0.10,185.09,obstruction
0.07,1.08,0.08,181.69,obstruction
0.08,1.09,0.10,187.60,obstruction
0.08,1.09,0.10,185.80,obstruction
0.06,1.09,0.08,184.40,obstruction
0.07,1.09,0.10,181.25,obstruction
0.10,1.09,0.11,186.75,obstruction
0.05,1.08,0.07,185.17,obstruction
0.08,1.09,0.09,184.69,obstruction
0.10,1.09,0.11,189.04,obstruction
0.07,1.09,0.08,185.77,obstruction
0.08,1.09,0.10,185.19,obstruction
0.10,1.09,0.11,187.72,obstruction
0.07,1.09,0.08,185.33,obstruction
0.09,1.09,0.10,188.37,obstruction
0.11,1.08,0.12,189.61,obstruction
0.09,1.09,0.11,193.98,obstruction
0.09,1.09,0.12,191.94,obstruction
0.11,1.08,0.14,193.89,obstruction
0.09,1.09,0.12,197.72,obstruction
0.08,1.09,0.11,189.69,obstruction
0.09,1.09,0.13,189.49,obstruction
0.09,1.09,0.12,191.62,obstruction
0.08,1.09,0.10,192.64,obstruction
0.08,1.09,0.10,189.09,obstruction
0.09,1.09,0.11,193.15,obstruction
0.06,1.09,0.08,190.57,obstruction
0.07,1.09,0.09,191.39,obstruction
0.10,1.09,0.11,197.22,obstruction
0.07,1.09,0.09,187.11,obstruction
0.07,1.09,0.09,186.98,obstruction
0.11,1.09,0.13,190.24,obstruction
0.10,1.09,0.11,192.87,obstruction
0.09,1.09,0.12,185.38,obstruction
0.11,1.09,0.14,191.19,obstruction
0.11,1.10,0.13,195.50,obstruction
0.10,1.08,0.11,197.27,obstruction
0.10,1.09,0.13,194.61,obstruction
0.12,1.09,0.13,197.08,obstruction
0.09,1.09,0.11,191.29,obstruction
0.06,1.09,0.08,192.62,obstruction
0.09,1.09,0.11,191.44,obstruction
0.09,1.09,0.10,189.77,obstruction
0.08,1.09,0.09,194.58,obstruction
0.09,1.09,0.11,187.19,obstruction
0.10,1.09,0.11,192.25,obstruction
0.07,1.09,0.08,191.55,obstruction
0.07,1.09,0.09,190.17,obstruction
0.09,1.09,0.11,194.06,obstruction
0.06,1.09,0.08,196.56,obstruction
0.08,1.09,0.08,195.18,obstruction
0.09,1.09,0.12,192.91,obstruction
0.08,1.09,0.11,192.76,obstruction
0.07,1.08,0.10,191.85,obstruction
0.10,1.09,0.12,187.38,obstruction
0.10,1.09,0.12,184.66,obstruction
0.07,1.09,0.09,180.41,obstruction
0.11,1.08,0.13,185.40,obstruction
0.10,1.09,0.13,188.98,obstruction
0.07,1.08,0.10,189.51,obstruction
0.08,1.09,0.10,188.21,obstruction
0.10,1.09,0.11,186.15,obstruction
0.07,1.09,0.10,183.05,obstruction
0.07,1.08,0.09,176.50,obstruction
0.11,1.10,0.11,181.53,obstruction
0.07,1.09,0.08,182.49,obstruction
0.07,1.08,0.09,177.27,obstruction
0.10,1.09,0.08,180.06,obstruction
0.07,1.09,0.06,176.75,obstruction
0.07,1.09,0.08,180.70,obstruction
0.11,1.10,0.09,177.88,obstruction
0.07,1.09,0.06,181.71,obstruction
0.09,1.09,0.08,185.03,obstruction
0.10,1.09,0.10,187.74,obstruction
0.08,1.09,0.06,196.45,obstruction
0.10,1.08,0.10,194.00,obstruction
0.11,1.10,0.10,191.70,obstruction
0.10,1.09,0.09,192.40,obstruction
0.10,1.09,0.10,190.90,obstruction
0.09,1.09,0.10,199.37,obstruction
0.08,1.09,0.08,195.61,obstruction
0.13,1.10,0.12,193.26,obstruction
0.09,1.09,0.09,194.60,obstruction
0.10,1.09,0.08,193.85,obstruction
0.12,1.10,0.12,203.08,obstruction
0.09,1.10,0.08,196.81,obstruction
0.12,1.09,0.09,193.23,obstruction
0.13,1.09,0.13,200.89,obstruction
0.11,1.09,0.09,201.30,obstruction
0.12,1.10,0.11,198.57,obstruction
0.13,1.09,0.12,201.26,obstruction
0.11,1.07,0.09,197.18,obstruction
0.11,1.10,0.10,201.27,obstruction
0.13,1.09,0.12,202.96,obstruction
0.12,1.08,0.11,199.70,obstruction
0.10,1.10,0.12,195.23,obstruction
0.13,1.08,0.13,203.11,obstruction
0.12,1.09,0.12,206.73,obstruction
0.12,1.11,0.13,205.04,obstruction
0.13,1.09,0.14,209.67,obstruction
0.10,1.09,0.13,206.21,obstruction
0.10,1.10,0.12,202.28,obstruction
0.13,1.09,0.16,194.57,obstruction
0.07,1.08,0.10,205.03,obstruction
0.07,1.10,0.09,202.94,obstruction
