rms_x,rms_y,rms_z,pw,label
0.06,1.09,0.05,112.35,fluctuations
0.06,1.09,0.05,66.82,fluctuations
0.06,1.09,0.05,39.14,fluctuations
0.06,1.09,0.05,30.77,fluctuations
0.06,1.09,0.05,25.71,fluctuations
0.06,1.09,0.05,27.05,fluctuations
0.06,1.09,0.05,35.50,fluctuations
0.06,1.09,0.05,39.63,fluctuations
0.06,1.09,0.05,47.66,fluctuations
0.06,1.09,0.05,57.88,fluctuations
0.06,1.09,0.05,63.07,fluctuations
0.06,1.09,0.05,70.01,fluctuations
0.06,1.09,0.05,82.40,fluctuations
0.06,1.09,0.05,89.38,fluctuations
0.06,1.09,0.05,98.79,fluctuations
0.06,1.09,0.05,110.37,fluctuations
0.06,1.09,0.05,117.28,fluctuations
0.06,1.09,0.05,133.67,fluctuations
0.06,1.09,0.05,142.51,fluctuations
0.06,1.09,0.05,161.75,fluctuations
0.06,1.09,0.05,157.98,fluctuations
0.06,1.09,0.05,135.51,fluctuations
0.06,1.09,0.05,77.13,fluctuations
0.06,1.09,0.05,45.19,fluctuations
0.06,1.09,0.05,30.15,fluctuations
0.06,1.09,0.05,28.75,fluctuations
0.06,1.09,0.05,28.90,fluctuations
0.06,1.09,0.05,32.10,fluctuations
0.06,1.09,0.05,42.17,fluctuations
0.06,1.09,0.05,48.11,fluctuations
0.06,1.09,0.05,55.16,fluctuations
0.06,1.09,0.05,65.75,fluctuations
0.06,1.09,0.05,71.20,fluctuations
0.06,1.09,0.05,79.03,fluctuations
0.06,1.09,0.05,94.16,fluctuations
0.06,1.09,0.05,98.08,fluctuations
0.06,1.09,0.05,111.12,fluctuations
0.06,1.09,0.05,118.73,fluctuations
0.06,1.09,0.05,125.34,fluctuations
0.06,1.09,0.05,141.30,fluctuations
0.06,1.09,0.05,151.72,fluctuations
0.06,1.09,0.05,153.71,fluctuations
0.06,1.09,0.05,156.76,fluctuations
0.06,1.09,0.05,88.78,fluctuations
0.06,1.09,0.06,49.01,fluctuations
0.06,1.09,0.05,32.61,fluctuations
0.06,1.09,0.05,25.63,fluctuations
0.06,1.08,0.05,28.61,fluctuations
0.06,1.09,0.05,31.56,fluctuations
0.06,1.09,0.05,35.40,fluctuations
0.06,1.09,0.05,44.93,fluctuations
0.06,1.09,0.05,50.79,fluctuations
0.06,1.09,0.05,56.97,fluctuations
0.06,1.09,0.05,67.16,fluctuations
0.06,1.09,0.05,75.23,fluctuations
0.06,1.09,0.05,82.19,fluctuations
0.06,1.09,0.05,95.12,fluctuations
